Monitor	Latitude	Longitude	fourthmaxOzone	meanOzone	maxOzone	avgTemp	mean4MaxTemp	meanMaxTemp	nmonitors	TotPop	PctUrban	PctInUAs	PctInUCs	PctRural	PctWhite	PctBlack	PctHisp	PctHighSchool	MedianHHInc	PctPoor	PctFemale	TotHUs	PctUrbanHUs	PctRuralHUs	PctOccupied	PctMovedIn5	MedianHValue	PopPerSQM	Year	Month
"42003-0010"	40.445577	-80.016155	0.022	0.0268847065217391	0.084	62.8757690434783	59.0	70.195652173913	1	1354689	0.98822681811102	0.98822681811102	0.0	0.0117731818889797	0.735258055538947	0.221815486801768	0.0109737364073968	0.33706087401732	32420.4637681159	0.17952212417725	0.520708443044861	633938	0.990658392461092	0.00934160753890759	0.886369014004524	0.440462143821976	86081.1594202899	2957.22541618407	2004.0	"6, 7, 8"
"42003-0067"	40.375644	-80.169943	0.021	0.0368432444444444	0.089	62.8757690434783	59.0	70.195652173913	1	163707	0.926417318746297	0.926417318746297	0.0	0.0735826812537033	0.946379812714178	0.0284715986488055	0.00713469796648891	0.308908206259171	48196.0625	0.0523937661879344	0.523691717519715	68591	0.931448732340978	0.0685512676590223	0.948754209735971	0.370366955559653	114512.5	811.393822526323	2004.0	"6, 7, 8"
"42005-0001"	40.814183	-79.56475	0.026	0.030024902173913	0.085	62.8757690434783	59.0	70.195652173913	1	33128	0.506520164211543	0.0	0.506520164211543	0.493479835788457	0.983276986235209	0.00996136198985752	0.00322989616034774	0.503015010905359	29435.0	0.10937931457675	0.519379376962086	14778	0.527743943700095	0.472256056299905	0.910339694139938	0.314874005797963	56962.5	141.564617122713	2004.0	"6, 7, 8"
"42011-0009"	40.320278	-75.926667	0.025	0.0271556086956522	0.08	73.0806453122591	69.8888888888889	80.7627829343755	9	226006	0.933090271939683	0.933090271939683	0.0	0.066909728060317	0.795492155075529	0.0567507057334761	0.177769616735839	0.370914355234451	42172.3333333333	0.131629613484452	0.517605727281577	94087	0.939609085208371	0.060390914791629	0.925048093785539	0.427919802378354	87858.3333333333	1533.06470113854	2004.0	"6, 7, 8"
"42013-0801"	40.535278	-78.370833	0.024	0.0277006630434783	0.074	62.8757690434783	59.0	70.195652173913	1	102695	0.886109352938313	0.886109352938313	0.0	0.113890647061688	0.962851161205512	0.0184040118798384	0.00461560932859438	0.502565451914222	31336.75	0.155897538723746	0.52682214323969	44341	0.888635799824091	0.111364200175909	0.929230283484811	0.367448972162221	66050.0	524.177013815431	2004.0	"6, 7, 8"
"42017-0012"	40.107222	-74.882222	0.017	0.0294358152173913	0.088	72.4707021179595	69.0	80.4230072463768	12	339691	0.998763582196761	0.998763582196761	0.0	0.00123641780323883	0.799432425351275	0.135584987532787	0.0386410002031258	0.383074163997127	52414.875	0.0602124936225061	0.513996543917855	128261	0.99863559460787	0.00136440539213011	0.963940714636561	0.375820958296936	119368.75	2889.52661228195	2004.0	"6, 7, 8"
"42021-0011"	40.309722	-78.915	0.021	0.0265556847826087	0.071	62.8757690434783	59.0	70.195652173913	1	101379	0.878248947020586	0.868483611004251	0.00976533601633474	0.121751052979414	0.939681788141528	0.0449994574813324	0.00626362461653794	0.460361264425489	28252.8888888889	0.134434084568394	0.536876473431381	46946	0.888936224598475	0.111063775401525	0.914071486388617	0.315645973154362	60622.2222222222	615.934649208795	2004.0	"6, 7, 8"
"42029-0100"	39.834461	-75.768242	0.029	0.0384837826086957	0.095	73.3167353859118	69.7692307692308	81.0974784863402	13	70984	0.783683647019047	0.783683647019047	0.0	0.216316352980953	0.877648484165446	0.0378395131297194	0.108968218190015	0.226414682106183	72601.2857142857	0.0431942388705454	0.497591006423983	24675	0.771185410334347	0.228814589665653	0.966686930091185	0.429505722550623	188671.428571429	488.344071658831	2004.0	"6, 7, 8"
"42043-0401"	40.246992	-76.846988	0.023	0.0292460652173913	0.085	72.903386170585	69.375	80.4070438446507	8	407069	0.992355104417187	0.992355104417187	0.0	0.00764489558281274	0.714728952585434	0.212617516932019	0.0513303641397404	0.335292452496373	37921.1739130435	0.103067326195611	0.513414187766693	181242	0.993213493561095	0.00678650643890489	0.924564946314872	0.4526466551292	91682.6086956522	2104.97158557622	2004.0	"6, 7, 8"
"42043-1100"	40.272222	-76.681389	0.024	0.0273462391304348	0.084	73.2695193871384	69.7777777777778	80.8509471855832	9	73379	0.876027201242862	0.873492416086346	0.00253478515651617	0.123972798757138	0.939492225296066	0.0206734896905109	0.0140503413783235	0.372866726823336	48206.0	0.0490523812854046	0.522070347102032	31557	0.888424121431061	0.111575878568939	0.94692144373673	0.431229502710662	124420.0	632.687744805191	2004.0	"6, 7, 8"
"42045-0002"	39.835556	-75.3725	0.025	0.0322137717391304	0.09	73.119549260381	69.8	80.8049829018075	10	329052	0.990156570997897	0.990156570997897	0.0	0.00984342900210301	0.812716531125779	0.146162308692851	0.0173984658959678	0.326243481838591	50373.3913043478	0.0815289136582402	0.525023400556751	131728	0.991573545487672	0.00842645451232843	0.946427486942791	0.39155858218832	128869.565217391	2043.52580432036	2004.0	"6, 7, 8"
"42049-0003"	42.14175	-80.038611	0.031	0.0343404239130435	0.083	68.4848686032609	66.0	76.7626811594203	6	316057	0.901160233755304	0.867302416969091	0.0338578167862126	0.0988397662446964	0.865112938488943	0.0936476648199534	0.0287701269074882	0.422688600105233	28676.7916666667	0.145557281057352	0.514755249844174	130659	0.908869653066379	0.0911303469336211	0.927345226888312	0.42223891190598	53670.8333333333	724.568788010163	2004.0	"6, 7, 8"
